sis_user_id,section_id,book_id_bn,term_code,term_year,part_time_job,family_annual_income,has_loan,has_scholarship,prefers_ebook,prefers_paperback,avg_books_per_semester,title,author,isbn,edition,cover_type,ebook_ind,has_free_resource,retail_new,retail_used,retail_new_rent,retail_used_rent,adoption_type,is_rental,student_full_part_time_status,credit_hours,included_in_course_fee,num_books_in_section,semester_num,has_course_fee,book_included_in_fee,student_num_terms,price_affordability_score,alternatives_available,matches_cover_pref,will_buy,buy_frac,College,Year,Semester,Department,Student_Status,Rental_to_Retail_Ratio,Arbitrage_Index,Wallet_Pressure_Score,Digital_Lock_Flag,Actual_Purchase_Flag
6268428,BN-785-785-468-W-24-3020-U01,2425344,W,24,0,69942,1,1,1,0,11,EBK BROCK BIOLOGY OF MICROORGANISMS,MADIGAN,9780135845554.0,16TH 21,EB,1.0,0.0,0.0,0.0,0.0,0.0,EO,0.0,P,3.0,N,6,10,1,0,9,699.42,1,0,0,0.0833333333333333,fiu,24,W,468,Part-Time,0.0,1.0,0.6994199999999999,1.0,0
901744922,BN-249-1-490-W-24-460-23888,4140107,W,24,0,39614,1,0,1,0,14,EBK BEST FRIENDS APPR.TO DEMENTIA CARE,BELL,9781938870637.0,2ND 17,EB,1.0,1.0,0.0,0.0,0.0,0.0,EO,0.0,F,3.0,Y,8,10,1,1,9,396.14,1,0,0,0.074074074074074,eku,24,W,490,Full-Time,0.0,1.0,0.39614,1.0,0
1174108,BN-91-1-10-F-23-215-MC05,844003331,F,23,0,42651,1,0,1,0,14,FD LL FOR FINANCIAL AND MANAGERIAL ACCT,WILD,9781266233463.0,9, ,0.0,0.0,0.0,0.0,0.0,0.0,RC,0.0,F,3.0,Y,1,6,1,1,3,426.51,0,0,0,0.0,campbell,23,F,10,Full-Time,0.0,1.0,0.42651,0.0,0
6309285,BN-785-785-75-F-23-3727-RVC,2688195,F,23,0,80557,1,1,1,0,10,"EBK CONSTRUCTION PLANNING,EQUIP.,+METHO",PEURIFOY,9781260108811.0,9TH 18,EB,1.0,0.0,0.0,0.0,0.0,0.0,EO,0.0,F,3.0,Y,2,6,1,1,4,805.57,1,0,0,0.0,fiu,23,F,75,Full-Time,0.0,1.0,0.80557,1.0,0
345724,BN-8388-1-505-F-24-104-LCE03,6552937,F,24,0,75510,0,1,1,1,22,ELEMENTARY STATISTICS-MYSTATLAB ACCESS,LARSON,9780137493227.0,8TH 23,AC,0.0,0.0,142.84,0.0,0.0,0.0,FD,0.0,F,3.0,Y,3,9,1,1,1,528.6334360123215,0,0,0,0.0,daemen,24,F,505,Full-Time,0.0,1.0,0.5286334360123215,0.0,0
6330177,BN-785-785-459-W-22-4613-RVD,1051972,W,22,0,67614,1,1,1,0,6,BASIC MARKET.RSRCH..MS.EXCEL.-TEXT,BURNS,9780135078228.0,3RD 12,PB,0.0,0.0,298.12,223.59,247.3,127.9,RQ,1.0,F,3.0,N,1,4,1,0,6,226.80128807191736,1,0,0,0.25,fiu,22,W,459,Full-Time,0.8295317321883805,0.1704682678116195,0.22680128807191735,0.0,0
6354926,BN-785-785-168-A-22-2013-U3MC,5664648,A,22,0,73420,1,1,1,1,9,PRIN.OF MACROECONOMICS-MINDTAP 1 TER,MANKIW,8220118200242.0,9TH 21,EP,1.0,1.0,0.0,0.0,0.0,0.0,EO,0.0,F,3.0,Y,3,2,1,1,9,734.2,1,0,0,0.0,fiu,22,A,168,Full-Time,0.0,1.0,0.7342000000000001,1.0,0
298931,BN-8255-1-572-W-24-101-001,380793,W,24,0,78081,0,0,1,1,12,ALFRED'S..ADULT ALL-IN-ONE...LEV.1-TEXT,PALMER,9780882848181.0,94,SP,0.0,0.0,19.99,14.99,14.6,10.0,RQ,1.0,F,1.0,Y,3,10,1,1,8,1000.0,1,0,0,0.0,morgan,24,W,572,Full-Time,0.7303651825912957,0.2696348174087043,1.0,0.0,0
6248381,BN-785-785-124-W-24-4153-U01,8146316,W,24,0,76494,1,0,1,1,6,EBK HANDS-ON MACHINE LEARNING WITH SCIK,GERON,9781098122461.0,3RD,EB,1.0,1.0,0.0,0.0,0.0,0.0,EO,0.0,F,3.0,Y,3,10,1,1,10,764.94,1,0,1,0.2857142857142857,fiu,24,W,124,Full-Time,0.0,1.0,0.7649400000000001,1.0,1
N00339909,BN-261-1-255-W-24-300-4M,2219630,W,24,1,33940,1,0,1,0,7,ICLICKER REEF 6 MONTH,ICLICKER,9781319140175.0,17,AC,0.0,0.0,18.57,0.0,0.0,0.0,RQ,0.0,F,3.0,Y,2,10,1,1,7,1000.0,0,0,0,0.0,nicholls,24,W,255,Full-Time,0.0,1.0,1.0,0.0,0
6361784,BN-785-785-17-W-24-6245-RVC,11605067,W,24,0,71717,0,1,1,1,16,BLACKNESS IN MEXICO,JERRY,9780813080123.0,23,PB,0.0,0.0,0.0,0.0,0.0,0.0,RQ,0.0,F,3.0,N,7,10,0,0,4,717.17,0,1,1,0.1666666666666666,fiu,24,W,17,Full-Time,0.0,1.0,0.71717,0.0,1
6321467,BN-785-785-441-A-24-2313-U01B,2152380,A,24,0,68855,1,1,1,1,12,EBK CALCULUS:EARLY TRANSCENDENTALS,BRIGGS,9780134770468.0,3RD 19,EB,1.0,1.0,0.0,0.0,0.0,0.0,EO,0.0,P,4.0,Y,4,8,1,1,10,688.55,1,0,0,0.125,fiu,24,A,441,Part-Time,0.0,1.0,0.68855,1.0,0
1167492,BN-91-1-134-W-23-107-MC01,801915,W,23,0,37960,0,1,1,0,31,MAJOR PROBLEMS IN HIST.OF VIETNAM WAR,MCMAHON,9780618749379.0,4TH 08,PB,0.0,0.0,216.32,162.24,180.95,93.6,RQ,1.0,F,3.0,Y,4,7,1,1,4,175.48076923076923,1,0,0,0.0769230769230769,campbell,23,W,134,Full-Time,0.8364922337278107,0.16350776627218933,0.17548076923076922,0.0,0
901794342,BN-249-1-475-F-22-252-10735,6702081,F,22,1,36785,0,0,1,0,13,"EBK MOSBY'S GDE.TO NURS.DIAG.,NANDA-I U",LADWIG,8220125257390.0,6TH 22,EB,1.0,1.0,0.0,0.0,0.0,0.0,EO,0.0,F,3.0,Y,7,3,1,1,7,367.85,1,0,0,0.0416666666666666,eku,22,F,475,Full-Time,0.0,1.0,0.36785,1.0,0
954677,BN-749-1-10-W-22-112-B,800001270,W,22,0,38360,1,0,1,0,8,INTRO TO MANAGERIAL ACCTING (LL) UPGRAD,BREWER,9781266227424.0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,RC,0.0,F,3.0,Y,2,4,0,0,3,383.6,0,0,0,0.0,niagara,22,W,10,Full-Time,0.0,1.0,0.3836,0.0,0
901761820,BN-249-1-505-W-23-383W-21375,4476945,W,23,0,44715,0,1,1,0,12,EBK MEDICAL ETHICS:ACCOUNTS OF GROUND..,PENCE,8220112699981.0,LATEST,EB,1.0,0.0,0.0,0.0,0.0,0.0,EO,0.0,F,3.0,Y,5,7,1,1,6,447.15,1,0,0,0.0,eku,23,W,505,Full-Time,0.0,1.0,0.44715,1.0,0
6319431,BN-785-785-441-W-22-2311-U08,7799913,W,22,0,69605,1,1,1,1,9,CALC.:EARLY TRANSCENDENT.(PEARSON+),BRIGGS,8220127613972.0,3RD 19,EP,1.0,0.0,0.0,0.0,0.0,0.0,EO,0.0,F,4.0,N,4,4,1,0,9,696.05,1,0,0,0.0,fiu,22,W,441,Full-Time,0.0,1.0,0.69605,1.0,0
6245066,BN-785-785-459-F-22-4400-U02,2292518,F,22,1,58271,1,0,1,1,7,SELL 6:STUDENT ED.-MINDTAP (6 MONTHS),INGRAM,9780357046593.0,6TH 20,AC,0.0,0.0,140.0,0.0,0.0,0.0,RQ,0.0,F,3.0,Y,2,3,0,0,9,416.2214285714286,0,0,0,0.0,fiu,22,F,459,Full-Time,0.0,1.0,0.4162214285714286,0.0,0
