Book_Title,Book_Rating,Sentiment_Understandability,How would you rate the conceptual clarity of the book?_score,How engaging and interactive were the examples and exercises?_score,"How helpful were the visuals, diagrams, and illustrations?_score","Overall, how satisfied are you with this textbook?_score",Would you recommend this book to other students?_score,Sentiment_Value_For_Money,Was the book affordable given your financial situation?_score,Sentiment_Exam_Utility,How likely are you to use this book again in future courses?_score,Sentiment_Avg_Rating
"""HISTORICAL PERSPECTIVES ON THE STATE O",3.375,3.25,3.0,3.75,4.0,3.75,3.75,3.5,2.75,3.0,3.0,3.38
"""OUR HEMISPHERE""?",3.25,3.5,1.5,4.0,3.5,5.0,4.0,2.0,1.5,3.5,4.0,3.25
"""PHY 2048 LAB MANUAL """,3.130769230769231,3.230769230769231,2.5384615384615383,3.769230769230769,3.0,3.6153846153846154,3.8461538461538463,2.0,2.4615384615384617,3.5384615384615383,3.3076923076923075,3.13
#REPUBLIC,3.3166666666666664,3.0,3.3333333333333335,3.5,3.5833333333333335,3.75,3.1666666666666665,2.4166666666666665,3.1666666666666665,3.5,3.75,3.32
$2.00 A DAY:LIVING ON ALMOST NOTHING...,3.3714285714285714,3.0,3.0,3.857142857142857,3.142857142857143,4.0,2.857142857142857,3.857142857142857,2.857142857142857,3.4285714285714284,3.7142857142857144,3.37
*PC PRO LABSIM-ACCESS,3.1333333333333333,3.3333333333333335,2.0,4.333333333333333,2.6666666666666665,4.0,3.3333333333333335,2.6666666666666665,3.0,3.6666666666666665,2.3333333333333335,3.1300000000000003
0,3.3415925226925496,3.0756856157233616,3.455869644869375,3.4540998679580506,3.4503736579767854,3.7242328086221317,3.4525720527338213,3.077026774788975,2.8217986740499548,3.455945689971034,3.4483204402320067,3.3428336478835265
"1"" BINDER",3.2600000000000002,3.0,3.8,3.4,3.2,3.8,3.8,3.0,2.0,3.6,3.0,3.2599999999999993
"1,000 CREATIVE WRITING PROMPTS:VOL.2",3.35,3.6,3.5,3.1,3.5,3.9,2.9,3.5,2.5,3.6,3.4,3.35
1-2-3 MAGIC IN THE CLASSROOM,3.446153846153846,3.5384615384615383,3.3076923076923075,3.076923076923077,4.0,4.076923076923077,3.923076923076923,2.923076923076923,2.6923076923076925,3.5384615384615383,3.3846153846153846,3.45
1-PAGE MARKETING PLAN,2.8,1.0,3.0,3.0,1.0,3.0,4.0,2.0,4.0,5.0,2.0,2.8
1.5 VIEW BINDER POLY ANGLE DRING,3.2,3.6,3.0,4.2,2.8,3.0,2.8,3.2,2.4,3.8,3.2,3.2
"1.5"" VIEW BINDER POLY ANGLE D-RING",3.328720787207872,3.110086100861009,3.434809348093481,3.3997539975399755,3.492619926199262,3.787207872078721,3.4907749077490773,2.885608856088561,2.814268142681427,3.455719557195572,3.4163591635916357,3.3289913899138988
10 MINDFRAMES FOR LEADERS,3.177049180327869,3.0491803278688523,3.0,3.5081967213114753,3.2131147540983607,3.7049180327868854,3.459016393442623,2.2459016393442623,2.7540983606557377,3.2950819672131146,3.540983606557377,3.18
10 THINGS EMPLOYERS WANT YOU TO LEARN..,3.2254901960784315,2.980392156862745,2.8627450980392157,3.411764705882353,3.2745098039215685,3.803921568627451,3.2549019607843137,2.843137254901961,2.9215686274509802,3.411764705882353,3.4901960784313726,3.23
100 BUILDINGS,3.4000000000000004,2.5,3.0,3.75,4.0,4.0,3.25,3.25,2.5,4.0,3.75,3.4
100 QUESTIONS (+ANSWERS) ABOUT TESTS...,3.3000000000000003,3.0714285714285716,3.142857142857143,3.4285714285714284,3.5714285714285716,3.857142857142857,3.0,3.142857142857143,2.7857142857142856,3.5714285714285716,3.4285714285714284,3.3
100 TEACHING IDEAS THAT TRANFER+...,3.425,3.125,2.875,3.625,2.875,3.625,3.75,3.25,3.125,3.75,4.25,3.42
100 TEACHING IDEAS THAT TRANSFER+TRANSF,3.25,3.25,3.75,3.25,3.5,3.75,2.75,2.75,3.0,3.5,3.0,3.25
1001 THINGS EVERYONE SHOULD KNOW...,2.5,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.5
101 BRIGHT IDEAS:ESL ACTIVITIES F/ALL..,3.4,4.0,3.0,4.0,3.0,5.0,1.0,1.0,3.0,5.0,5.0,3.4
101 SAMPLE WRITE-UPS...PROBLEMS,3.6,3.3333333333333335,4.333333333333333,3.0,2.6666666666666665,5.0,4.666666666666667,4.0,2.0,3.0,4.0,3.6
