campus_code,sis_user_id,dept_code,adoption_type,target,retail_new,bundle_discount_pct,is_stem_dept,is_ebook,student_type_score,title,author,isbn,term_year,term_code,prob_optin,prediction,actual_price,expected_spend,potential_savings,count
249-1,901756203,CHE,FD,1,50.95,-3.9809617271835127,0,1,0.5,EBK ORGANIC CHEMISTRY:GUIDED INQUIRY,RUDER,9781119313496,23,F,0.3177581753842243,0,253.77999999999997,80.64066974900844,173.13933025099155,1
91-1,1190474,BIOL,FD,0,,0.0,1,0,1.0,BIOLOGY:LIFE...-MOD.MASTERING ACCESS,AUDESIRK,8220117021336,23,F,0.4685517959173055,0,,,,1
249-1,901728401,ENG,FD,1,102.86,0.8347268131440794,0,0,0.5,LANGUAGE AWARENESS-PACKAGE,ESCHHOLZ,9781319392734,21,F,0.474861688588647,0,16.999999999999996,8.072648706006998,8.927351293993,1
91-1,1152999,SPAN,FD,0,0.0,0.0,0,0,1.0,PORTALES 2.0-ACCESS (5 MONTHS),BLANCO,8220127424219,24,A,0.476890038728063,0,0.0,0.0,0.0,1
576-1,11044802,BIOL,FD,0,124.99,,1,1,0.5,EBK UNDERSTANDING PATHOPHYSIOLOGY,HUETHER,9780323672818,23,W,0.3218365600328532,0,124.99,40.22635163850632,84.76364836149368,1
576-1,11020069,SOC,FD,0,123.0,,0,1,1.0,EBK CLASSICAL+CONTEMP.SOCIOLOGICAL THEO,APPELROUTH,9781544358581,24,W,0.4307212920450883,0,123.0,52.97871892154586,70.02128107845415,1
249-1,901794250,CMS,FD,0,0.0,0.0,0,1,1.0,EBK SOCIAL MEDIA F/STRATEGIC COMMUNICAT,FREBERG,8220123744250,24,W,0.4218978926713227,0,0.0,0.0,0.0,1
249-1,901798409,FSE,FD,0,97.99,,0,1,1.0,EBK PRACTICAL BOMB SCENE INVESTIGATION,THURMAN,9781351857611,24,F,0.4283220849352823,0,97.99,41.97128110280831,56.01871889719169,1
249-1,901764838,CMS,FD,1,74.29,,0,0,1.0,CHOICES+CONNECTIONS-LAUNCHPAD,MCCORNACK,9781319227395,23,W,0.6221677493882986,1,74.29,46.2208421020567,28.069157897943303,1
576-1,11062024,FDLS,FD,0,0.0,0.0,0,0,1.0,PREALGEBRA+INTRO.ALG.-MYLABMATH (18,MARTIN-GAY,8220144547878,24,W,0.476890038728063,0,0.0,0.0,0.0,1
91-1,1176368,BIOL,FD,0,0.0,0.0,1,0,1.0,BIOLOGY:LIFE ON EARTH...-MOD.MASTERI,AUDESIRK,8220144758960,24,W,0.4685517959173055,0,0.0,0.0,0.0,1
249-1,901512597,EAD,FD,0,30.99,,0,1,0.5,"EBK AIM HIGH,ACHIEVE MORE",JACKSON,9781416614937,24,W,0.3294654860918917,0,30.99,10.210135413987723,20.779864586012273,1
249-1,901793011,GSD,FD,1,22.18,,0,0,1.0,CM IA LAUNCHPAD SOLO FOR ACES FOR EKU,GORE,9781319145347,22,F,0.638053503942358,1,22.18,14.152026717441501,8.027973282558499,1
789-1,3759908,SOCI,FD,1,0.0,0.0,0,1,0.5,"EBK DIVERSITY+SOCIETY:RACE,ETHNIC...(LO",HEALEY,8220128512274,23,F,0.3167570393357163,0,0.0,0.0,0.0,1
