campus_code,adoption_type,dept_code,term_year,term_code,total_bundles,total_spend,total_savings,total_retail
249-1,EO,ACC,21,F,309,0.0,0.0,0.0
249-1,EO,ACC,22,A,21,0.0,0.0,0.0
249-1,EO,ACC,22,W,258,0.0,0.0,0.0
249-1,EO,ACC,23,A,4,0.0,0.0,0.0
249-1,EO,ACC,23,F,16,0.0,0.0,0.0
249-1,EO,ACC,23,W,170,2512.2170362336033,2338.0129637663968,4850.2300000000005
249-1,EO,ACC,24,W,43,0.0,0.0,0.0
249-1,EO,ADM,21,F,6,0.0,0.0,0.0
249-1,EO,ADM,22,F,12,0.0,0.0,0.0
249-1,EO,ADM,22,W,35,0.0,0.0,0.0
249-1,EO,ADM,23,F,64,0.0,0.0,0.0
249-1,EO,ADM,23,W,10,0.0,0.0,0.0
249-1,EO,ADM,24,F,105,0.0,0.0,0.0
249-1,EO,ADM,24,W,36,0.0,0.0,0.0
249-1,EO,AED,21,F,16,0.0,0.0,0.0
249-1,EO,AED,22,F,9,0.0,0.0,0.0
249-1,EO,AED,22,W,14,0.0,0.0,0.0
249-1,EO,AED,23,F,10,0.0,0.0,0.0
249-1,EO,AED,24,F,28,0.0,0.0,0.0
249-1,EO,AEM,21,F,332,0.0,0.0,0.0
249-1,EO,AEM,22,A,18,0.0,0.0,0.0
249-1,EO,AEM,22,F,216,0.0,0.0,0.0
249-1,EO,AEM,22,W,139,0.0,0.0,0.0
249-1,EO,AEM,23,F,431,0.0,0.0,0.0
249-1,EO,AEM,23,W,297,0.0,0.0,0.0
249-1,EO,AEM,24,F,469,0.0,0.0,0.0
249-1,EO,AEM,24,W,426,0.0,0.0,0.0
249-1,EO,AFA,21,F,11,0.0,0.0,0.0
249-1,EO,AFA,23,W,56,0.0,0.0,0.0
249-1,EO,AFA,24,W,15,0.0,0.0,0.0
249-1,EO,AGR,21,F,242,0.0,0.0,0.0
249-1,EO,AGR,22,F,77,0.0,0.0,0.0
249-1,EO,AGR,22,W,75,0.0,0.0,0.0
249-1,EO,AGR,23,A,18,0.0,0.0,0.0
249-1,EO,AGR,23,F,578,0.0,0.0,0.0
249-1,EO,AGR,23,W,190,0.0,0.0,0.0
249-1,EO,AGR,24,F,454,0.0,0.0,0.0
249-1,EO,AGR,24,W,209,0.0,0.0,0.0
249-1,EO,ANS,21,F,170,0.0,0.0,0.0
249-1,EO,ANS,22,A,19,0.0,0.0,0.0
249-1,EO,ANS,23,F,280,0.0,0.0,0.0
249-1,EO,ANS,23,W,347,0.0,0.0,0.0
249-1,EO,ANS,24,A,34,0.0,0.0,0.0
249-1,EO,ANS,24,F,135,0.0,0.0,0.0
249-1,EO,ANS,24,W,131,0.0,0.0,0.0
249-1,EO,ANT,21,F,829,0.0,0.0,0.0
249-1,EO,ANT,22,A,60,0.0,0.0,0.0
249-1,EO,ANT,22,F,48,0.0,0.0,0.0
249-1,EO,ANT,22,W,193,0.0,0.0,0.0
249-1,EO,ANT,23,F,237,0.0,0.0,0.0
249-1,EO,ANT,23,W,120,0.0,0.0,0.0
249-1,EO,ANT,24,F,129,0.0,0.0,0.0
249-1,EO,ANT,24,W,94,0.0,0.0,0.0
249-1,EO,APP,21,F,91,0.0,0.0,0.0
249-1,EO,APP,22,A,60,0.0,0.0,0.0
249-1,EO,APP,22,F,93,0.0,0.0,0.0
249-1,EO,APP,22,W,86,0.0,0.0,0.0
249-1,EO,APP,23,A,49,0.0,0.0,0.0
249-1,EO,APP,23,F,240,0.0,0.0,0.0
249-1,EO,APP,23,W,138,0.0,0.0,0.0
249-1,EO,APP,24,A,57,0.0,0.0,0.0
249-1,EO,APP,24,F,400,0.0,0.0,0.0
249-1,EO,APP,24,W,246,0.0,0.0,0.0
249-1,EO,ARH,21,F,80,0.0,0.0,0.0
249-1,EO,ARH,22,W,54,0.0,0.0,0.0
249-1,EO,ART,21,F,111,0.0,0.0,0.0
249-1,EO,ART,22,A,190,0.0,0.0,0.0
249-1,EO,ART,22,F,706,0.0,0.0,0.0
249-1,EO,ART,22,W,560,0.0,0.0,0.0
249-1,EO,ASL,21,F,168,0.0,0.0,0.0
249-1,EO,ASL,22,A,26,0.0,0.0,0.0
249-1,EO,ASL,22,F,338,0.0,0.0,0.0
249-1,EO,ASL,22,W,198,0.0,0.0,0.0
249-1,EO,ASL,23,F,159,0.0,0.0,0.0
249-1,EO,ASL,23,W,163,0.0,0.0,0.0
249-1,EO,AST,22,A,29,0.0,0.0,0.0
249-1,EO,AST,22,F,122,0.0,0.0,0.0
249-1,EO,ATR,21,F,40,0.0,0.0,0.0
249-1,EO,ATR,22,A,63,0.0,0.0,0.0
249-1,EO,ATR,22,F,86,0.0,0.0,0.0
249-1,EO,ATR,22,W,65,0.0,0.0,0.0
249-1,EO,ATR,23,A,21,0.0,0.0,0.0
249-1,EO,ATR,23,F,78,0.0,0.0,0.0
249-1,EO,ATR,23,W,183,0.0,0.0,0.0
249-1,EO,ATR,24,F,126,0.0,0.0,0.0
249-1,EO,ATR,24,W,175,0.0,0.0,0.0
249-1,EO,AVN,21,F,284,0.0,0.0,0.0
249-1,EO,AVN,22,F,134,0.0,0.0,0.0
249-1,EO,AVN,22,W,206,0.0,0.0,0.0
249-1,EO,AVN,23,F,462,0.0,0.0,0.0
249-1,EO,AVN,23,W,424,0.0,0.0,0.0
249-1,EO,AVN,24,F,477,0.0,0.0,0.0
249-1,EO,AVN,24,W,436,0.0,0.0,0.0
249-1,EO,BEM,21,F,331,0.0,0.0,0.0
249-1,EO,BEM,22,F,333,0.0,0.0,0.0
249-1,EO,BEM,22,W,135,0.0,0.0,0.0
249-1,EO,BEM,23,F,217,0.0,0.0,0.0
249-1,EO,BEM,23,W,297,0.0,0.0,0.0
249-1,EO,BEM,24,F,365,0.0,0.0,0.0
249-1,EO,BEM,24,W,285,0.0,0.0,0.0
249-1,EO,BIO,21,F,3813,0.0,0.0,0.0
249-1,EO,BIO,22,A,194,0.0,0.0,0.0
249-1,EO,BIO,22,F,2581,0.0,0.0,0.0
249-1,EO,BIO,22,W,2412,0.0,0.0,0.0
249-1,EO,BIO,23,A,45,0.0,0.0,0.0
249-1,EO,BIO,23,F,1743,0.0,0.0,0.0
249-1,EO,BIO,23,W,1653,0.0,0.0,0.0
249-1,EO,BIO,24,A,87,0.0,0.0,0.0
249-1,EO,BIO,24,F,1733,0.0,0.0,0.0
249-1,EO,BIO,24,W,1073,0.0,0.0,0.0
249-1,EO,BTO,21,F,720,0.0,0.0,0.0
249-1,EO,BUS,21,F,1956,0.0,0.0,0.0
249-1,EO,BUS,22,A,197,0.0,0.0,0.0
249-1,EO,BUS,22,F,1124,0.0,0.0,0.0
249-1,EO,BUS,22,W,1651,0.0,0.0,0.0
249-1,EO,BUS,23,F,799,0.0,0.0,0.0
249-1,EO,BUS,23,W,1295,0.0,0.0,0.0
249-1,EO,BUS,24,F,1641,0.0,0.0,0.0
249-1,EO,BUS,24,W,1056,0.0,0.0,0.0
249-1,EO,CCT,22,F,35,0.0,0.0,0.0
249-1,EO,CCT,23,W,6,0.0,0.0,0.0
249-1,EO,CDF,21,F,1090,0.0,0.0,0.0
249-1,EO,CDF,22,F,1090,0.0,0.0,0.0
249-1,EO,CDF,22,W,402,0.0,0.0,0.0
249-1,EO,CDF,23,F,460,0.0,0.0,0.0
249-1,EO,CDF,23,W,626,9422.026986265982,9185.65301373402,18607.68
249-1,EO,CDF,24,F,485,0.0,0.0,0.0
249-1,EO,CDF,24,W,410,0.0,0.0,0.0
249-1,EO,CHE,21,F,774,0.0,0.0,0.0
249-1,EO,CHE,22,F,155,0.0,0.0,0.0
249-1,EO,CHE,22,W,287,0.0,0.0,0.0
249-1,EO,CHE,23,F,453,0.0,0.0,0.0
249-1,EO,CHE,23,W,373,0.0,0.0,0.0
249-1,EO,CHE,24,F,473,5768.542155742882,4501.457844257118,10270.0
249-1,EO,CHE,24,W,589,5057.245479891089,3830.254520108911,8887.5
249-1,EO,CIS,21,F,432,0.0,0.0,0.0
249-1,EO,CIS,22,W,89,0.0,0.0,0.0
249-1,EO,CIS,23,F,71,0.0,0.0,0.0
249-1,EO,CIS,23,W,39,0.0,0.0,0.0
249-1,EO,CMS,21,F,322,0.0,0.0,0.0
249-1,EO,CMS,22,A,40,0.0,0.0,0.0
249-1,EO,CMS,22,F,370,0.0,0.0,0.0
249-1,EO,CMS,22,W,902,0.0,0.0,0.0
249-1,EO,CMS,23,F,149,0.0,0.0,0.0
249-1,EO,CMS,23,W,1023,0.0,0.0,0.0
249-1,EO,CMS,24,A,42,0.0,0.0,0.0
249-1,EO,CMS,24,F,352,0.0,0.0,0.0
249-1,EO,CMS,24,W,186,0.0,0.0,0.0
249-1,EO,CON,21,F,269,0.0,0.0,0.0
249-1,EO,CON,22,F,90,0.0,0.0,0.0
249-1,EO,CON,22,W,115,0.0,0.0,0.0
249-1,EO,CON,23,F,273,0.0,0.0,0.0
249-1,EO,CON,23,W,171,0.0,0.0,0.0
249-1,EO,CON,24,F,319,0.0,0.0,0.0
249-1,EO,CON,24,W,188,0.0,0.0,0.0
249-1,EO,COR,21,F,54,0.0,0.0,0.0
249-1,EO,COR,22,A,42,0.0,0.0,0.0
249-1,EO,COR,22,F,70,0.0,0.0,0.0
249-1,EO,COR,22,W,106,0.0,0.0,0.0
249-1,EO,COR,23,F,162,0.0,0.0,0.0
249-1,EO,COR,23,W,495,0.0,0.0,0.0
249-1,EO,COR,24,F,138,0.0,0.0,0.0
249-1,EO,COR,24,W,204,0.0,0.0,0.0
249-1,EO,COU,21,F,760,0.0,0.0,0.0
249-1,EO,COU,22,A,71,0.0,0.0,0.0
249-1,EO,COU,22,F,281,0.0,0.0,0.0
