College,Year,Semester,Department,Format,Total_Spend,Book_Count
betheltn,22,A,144,Digital,0.0,33
betheltn,22,A,144,Physical,3436.48,38
betheltn,22,A,18,Digital,0.0,104
betheltn,22,A,18,Physical,0.0,54
betheltn,22,A,288,Digital,0.0,44
betheltn,22,A,288,Physical,2003.48,22
betheltn,22,A,300,Digital,0.0,47
betheltn,22,A,300,Physical,5400.1,55
betheltn,22,A,36,Digital,0.0,3
betheltn,22,A,36,Physical,0.0,1
betheltn,22,A,378,Physical,304.0,16
betheltn,22,A,450,Digital,0.0,83
betheltn,22,A,450,Physical,5563.6997,41
betheltn,22,A,468,Digital,0.0,65
betheltn,22,A,468,Physical,2804.9702,54
betheltn,22,A,576,Physical,680.0,8
betheltn,22,A,666,Digital,0.0,51
betheltn,22,A,666,Physical,9962.38,64
betheltn,22,A,702,Digital,0.0,25
betheltn,22,A,702,Physical,4805.66,33
betheltn,22,A,72,Physical,140.6,1
betheltn,22,A,810,Digital,0.0,3
betheltn,22,A,810,Physical,407.09998,3
betheltn,22,A,864,Digital,0.0,95
betheltn,22,A,864,Physical,10050.96,60
betheltn,22,A,90,Digital,0.0,101
betheltn,22,A,90,Physical,9002.689,120
betheltn,22,A,936,Digital,0.0,98
betheltn,22,A,936,Physical,7942.5,62
betheltn,22,F,126,Digital,0.0,61
betheltn,22,F,126,Physical,8628.3,75
betheltn,22,F,144,Digital,1187.5,87
betheltn,22,F,144,Physical,25011.53,103
betheltn,22,F,162,Digital,0.0,378
betheltn,22,F,162,Physical,30664.72,180
betheltn,22,F,18,Digital,0.0,272
betheltn,22,F,18,Physical,12997.369,137
betheltn,22,F,180,Physical,18871.799,426
betheltn,22,F,234,Digital,0.0,686
betheltn,22,F,234,Physical,60296.297,312
betheltn,22,F,250,Digital,0.0,16
betheltn,22,F,250,Physical,7174.38,47
betheltn,22,F,270,Digital,0.0,264
betheltn,22,F,270,Physical,31708.62,162
betheltn,22,F,288,Digital,0.0,124
betheltn,22,F,288,Physical,3180.12,58
betheltn,22,F,300,Digital,2812.5,190
betheltn,22,F,300,Physical,1545.12,63
betheltn,22,F,36,Digital,0.0,84
betheltn,22,F,36,Physical,15316.36,528
betheltn,22,F,360,Digital,0.0,38
betheltn,22,F,360,Physical,1889.88,21
betheltn,22,F,378,Digital,19275.0,664
betheltn,22,F,378,Physical,68202.52,669
betheltn,22,F,450,Digital,24866.879,783
betheltn,22,F,450,Physical,3352.4,62
betheltn,22,F,468,Digital,0.0,184
betheltn,22,F,468,Physical,11487.721,159
betheltn,22,F,504,Digital,0.0,35
betheltn,22,F,504,Physical,1196.51,28
betheltn,22,F,576,Digital,0.0,76
betheltn,22,F,576,Physical,4484.48,29
betheltn,22,F,666,Digital,3917.5,1513
betheltn,22,F,666,Physical,153408.88,638
betheltn,22,F,684,Physical,52.95,2
betheltn,22,F,702,Digital,0.0,142
betheltn,22,F,702,Physical,12539.62,135
betheltn,22,F,72,Digital,0.0,642
betheltn,22,F,72,Physical,38608.73,405
betheltn,22,F,810,Digital,0.0,207
betheltn,22,F,810,Physical,2940.0,59
betheltn,22,F,846,Digital,0.0,32
betheltn,22,F,846,Physical,4368.8,32
betheltn,22,F,864,Digital,0.0,603
betheltn,22,F,864,Physical,60827.18,272
betheltn,22,F,882,Digital,0.0,107
betheltn,22,F,882,Physical,46255.562,979
betheltn,22,F,90,Digital,0.0,1462
betheltn,22,F,90,Physical,53182.25,789
betheltn,22,F,900,Physical,3523.36,19
betheltn,22,F,918,Digital,0.0,96
betheltn,22,F,918,Physical,1926.2499,32
betheltn,22,F,936,Digital,0.0,384
betheltn,22,F,936,Physical,7011.4097,102
betheltn,22,F,954,Digital,0.0,135
betheltn,22,F,954,Physical,0.0,45
betheltn,22,F,960,Digital,0.0,84
betheltn,22,F,960,Physical,13131.52,113
betheltn,22,W,126,Digital,0.0,77
betheltn,22,W,126,Physical,15404.81,113
betheltn,22,W,144,Digital,0.0,81
betheltn,22,W,144,Physical,25326.879,97
betheltn,22,W,162,Digital,0.0,243
betheltn,22,W,162,Physical,19587.12,124
betheltn,22,W,18,Digital,0.0,259
betheltn,22,W,18,Physical,24986.64,203
betheltn,22,W,180,Physical,1816.2999,41
betheltn,22,W,250,Digital,0.0,24
betheltn,22,W,250,Physical,495.0,17
betheltn,22,W,270,Digital,0.0,2
betheltn,22,W,270,Physical,26926.66,145
betheltn,22,W,288,Digital,0.0,102
betheltn,22,W,288,Physical,9734.65,95
betheltn,22,W,300,Digital,1912.5,134
betheltn,22,W,300,Physical,9107.27,92
betheltn,22,W,36,Physical,680.47,390
betheltn,22,W,360,Digital,0.0,50
betheltn,22,W,360,Physical,2529.7,25
betheltn,22,W,378,Digital,0.0,432
betheltn,22,W,378,Physical,65272.43,804
betheltn,22,W,450,Digital,0.0,313
betheltn,22,W,450,Physical,35493.94,308
betheltn,22,W,468,Digital,0.0,144
betheltn,22,W,468,Physical,12298.14,273
betheltn,22,W,576,Digital,0.0,43
betheltn,22,W,576,Physical,7344.77,45
betheltn,22,W,666,Digital,1287.5,151
betheltn,22,W,666,Physical,60401.48,397
betheltn,22,W,684,Physical,1305.72,45
betheltn,22,W,702,Digital,0.0,154
betheltn,22,W,702,Physical,18455.57,167
betheltn,22,W,72,Digital,0.0,130
betheltn,22,W,72,Physical,51696.29,348
betheltn,22,W,810,Digital,0.0,48
betheltn,22,W,810,Physical,3299.0999,43
betheltn,22,W,828,Physical,510.93,7
betheltn,22,W,846,Digital,0.0,7
betheltn,22,W,846,Physical,3926.39,17
betheltn,22,W,864,Digital,0.0,469
betheltn,22,W,864,Physical,55140.1,263
betheltn,22,W,882,Digital,0.0,58
betheltn,22,W,882,Physical,36362.09,760
betheltn,22,W,90,Digital,0.0,1041
betheltn,22,W,90,Physical,53709.46,731
betheltn,22,W,900,Digital,0.0,180
betheltn,22,W,900,Physical,2944.6301,52
betheltn,22,W,918,Digital,0.0,247
betheltn,22,W,918,Physical,25377.26,164
betheltn,22,W,936,Digital,0.0,166
betheltn,22,W,936,Physical,14547.601,190
betheltn,22,W,954,Digital,0.0,33
betheltn,22,W,954,Physical,0.0,27
betheltn,22,W,960,Physical,7439.66,49
betheltn,23,A,126,Physical,125.71,1
betheltn,23,A,144,Digital,0.0,18
betheltn,23,A,144,Physical,1865.9401,27
betheltn,23,A,180,Physical,114.25001,25
betheltn,23,A,250,Physical,255.98,2
betheltn,23,A,270,Physical,7812.4795,24
betheltn,23,A,288,Digital,0.0,78
betheltn,23,A,288,Physical,2440.22,26
betheltn,23,A,300,Digital,0.0,92
betheltn,23,A,300,Physical,3309.48,22
betheltn,23,A,450,Digital,4987.08,240
betheltn,23,A,450,Physical,12277.5,77
betheltn,23,A,666,Digital,3336.25,307
betheltn,23,A,666,Physical,20632.56,60
betheltn,23,A,702,Digital,0.0,15
betheltn,23,A,702,Physical,2142.9,15
betheltn,23,A,72,Physical,314.26,2
betheltn,23,A,810,Digital,0.0,4
betheltn,23,A,810,Physical,1887.96,12
betheltn,23,A,864,Digital,0.0,152
betheltn,23,A,864,Physical,15058.32,77
betheltn,23,A,882,Physical,1899.6201,38
betheltn,23,A,90,Digital,0.0,108
betheltn,23,A,90,Physical,5051.28,26
